0;Banco Bankpar S.A.;
1;Banco do Brasil S.A.;
3;Banco da Amazônia S.A.;
4;Banco do Nordeste do Brasil S.A.;
12;Banco Standard de Investimentos S.A.;
21;BANESTES S.A. Banco do Estado do Espírito Santo;
24;Banco de Pernambuco S.A. - BANDEPE;
25;Banco Alfa S.A.;
29;Banco Banerj S.A.;
31;Banco Beg S.A.;
33;Banco Santander (Brasil) S.A.;
36;Banco Bradesco BBI S.A.;
37;Banco do Estado do Pará S.A.;
40;Banco Cargill S.A.;
41;Banco do Estado do Rio Grande do Sul S.A.;
44;Banco BVA S.A.;
45;Banco Opportunity S.A.;
47;Banco do Estado de Sergipe S.A.;
62;Hipercard Banco Múltiplo S.A.;
63;Banco Ibi S.A. Banco Múltiplo;
64;Goldman Sachs do Brasil Banco Múltiplo S.A.;
65;Banco Bracce S.A.;
69;BPN Brasil Banco Múltiplo S.A.;
70;BRB - Banco de Brasília S.A.;
72;Banco Rural Mais S.A.;
73;BB Banco Popular do Brasil S.A.;
74;Banco J. Safra S.A.;
78;BES Investimento do Brasil S.A.-Banco de Investimento;
79;Banco JBS S.A.;
96;Banco BM&F de Serviços de Liquidação e Custódia S.A;
104;Caixa Econômica Federal;
107;Banco BBM S.A.;
184;Banco Itaú BBA S.A.;
204;Banco Bradesco Cartões S.A.;
208;Banco BTG Pactual S.A.;
214;Banco Dibens S.A.;
215;Banco Comercial e de Investimento Sudameris S.A.;
217;Banco John Deere S.A.;
218;Banco Bonsucesso S.A.;
222;Banco Credit Agricole Brasil S.A.;
224;Banco Fibra S.A.;
225;Banco Brascan S.A.;
229;Banco Cruzeiro do Sul S.A.;
230;Unicard Banco Múltiplo S.A.;
233;Banco GE Capital S.A.;
237;Banco Bradesco S.A.;
246;Banco ABC Brasil S.A.;
248;Banco Boavista Interatlântico S.A.;
249;Banco Investcred Unibanco S.A.;
250;Banco Schahin S.A.;
263;Banco Cacique S.A.;
265;Banco Fator S.A.;
318;Banco BMG S.A.;
320;Banco Industrial e Comercial S.A.;
341;Itaú Unibanco S.A.;
356;Banco Real S.A.;
366;Banco Société Générale Brasil S.A.;
370;Banco WestLB do Brasil S.A.;
376;Banco J. P. Morgan S.A.;
389;Banco Mercantil do Brasil S.A.;
394;Banco Bradesco Financiamentos S.A.;
394;Banco Finasa BMC S.A.;
399;HSBC Bank Brasil S.A. - Banco Múltiplo;
409;UNIBANCO - União de Bancos Brasileiros S.A.;
422;Banco Safra S.A.;
453;Banco Rural S.A.;
456;Banco de Tokyo-Mitsubishi UFJ Brasil S.A.;
464;Banco Sumitomo Mitsui Brasileiro S.A.;
473;Banco Caixa Geral - Brasil S.A.;
477;Citibank S.A.;
479;Banco ItaúBank S.A;
487;Deutsche Bank S.A. - Banco Alemão;
488;JPMorgan Chase Bank;
492;ING Bank N.V.;
505;Banco Credit Suisse (Brasil) S.A.;
600;Banco Luso Brasileiro S.A.;
604;Banco Industrial do Brasil S.A.;
610;Banco VR S.A.;
611;Banco Paulista S.A.;
612;Banco Guanabara S.A.;
623;Banco Panamericano S.A.;
626;Banco Ficsa S.A.;
633;Banco Rendimento S.A.;
634;Banco Triângulo S.A.;
637;Banco Sofisa S.A.;
638;Banco Prosper S.A.;
641;Banco Alvorada S.A.;
643;Banco Pine S.A.;
652;Itaú Unibanco Holding S.A.;
653;Banco Indusval S.A.;
655;Banco Votorantim S.A.;
707;Banco Daycoval S.A.;
719;Banif-Banco Internacional do Funchal (Brasil)S.A.;
739;Banco BGN S.A.;
740;Banco Barclays S.A.;
745;Banco Citibank S.A.;
746;Banco Modal S.A.;
747;Banco Rabobank International Brasil S.A.;
748;Banco Cooperativo Sicredi S.A.;
749;Banco Simples S.A.;
751;Dresdner Bank Brasil S.A. - Banco Múltiplo;
752;Banco BNP Paribas Brasil S.A.;
755;Bank of America Merrill Lynch Banco Múltiplo S.A.;
756;Banco Cooperativo do Brasil S.A. - BANCOOB;
